Model,Accuracy,Precision,Recall,F1-score,True Positive,False Positive,True Negative,False Negative,Test Size,Total Prediction Time (ms),Average Prediction Time (ms),Total Cost,Accuracy/Cost Ratio
Nearest Neighbors,0.8273809523809523,0.8045977011494253,0.8536585365853658,0.8284023668639053,70,17,69,12,168,10.446599684655666,0.06218214098009325,1213,0.0006820947670082047
Decision Tree,0.8333333333333334,0.8068181818181818,0.8658536585365854,0.8352941176470589,71,17,69,11,168,0.38929982110857964,0.0023172608399320217,1132,0.0007361601884570083
Support Vector,0.8452380952380952,0.8111111111111111,0.8902439024390244,0.8488372093023255,73,17,69,9,168,1.240499783307314,0.007383927281591154,970,0.0008713794796269024
Neural Network,0.8392857142857143,0.8235294117647058,0.8536585365853658,0.8383233532934131,70,15,71,12,168,0.3514997661113739,0.0020922605125677017,1175,0.0007142857142857143
Naive Bayes,0.7976190476190477,0.7264150943396226,0.9390243902439024,0.8191489361702128,77,29,57,5,168,0.2963002771139145,0.0017636921256780624,874,0.0009126076059714504
Random Forest,0.8154761904761905,0.8,0.8292682926829268,0.8143712574850299,68,17,69,14,168,0.7226001471281052,0.004301191351953007,1375,0.0005930735930735931
Gradient Boosting,0.8392857142857143,0.8160919540229885,0.8658536585365854,0.8402366863905325,71,16,70,11,168,0.33720023930072784,0.0020071442815519517,1113,0.0007540752149916571
